"id","category","min_income","max_income","rate"
"ter_a_01","A",0,5400000,0.0
"ter_a_02","A",5400000,5650000,0.25
"ter_a_03","A",5650000,5950000,0.50
"ter_a_04","A",5950000,6300000,0.75
"ter_a_05","A",6300000,6750000,1.00
"ter_a_06","A",6750000,7500000,1.25
"ter_a_07","A",7500000,8550000,1.50
"ter_a_08","A",8550000,9650000,1.75
"ter_a_09","A",9650000,10050000,2.00
"ter_a_10","A",10050000,10350000,2.25
"ter_a_11","A",10350000,10700000,2.50
"ter_a_12","A",10700000,11050000,3.00
"ter_a_13","A",11050000,11600000,3.50
"ter_a_14","A",11600000,12500000,4.00
"ter_a_15","A",12500000,13750000,5.00
"ter_a_16","A",13750000,15100000,6.00
"ter_a_17","A",15100000,16950000,7.00
"ter_a_18","A",16950000,19750000,8.00
"ter_a_19","A",19750000,24150000,9.00
"ter_a_20","A",24150000,26450000,10.00
"ter_a_21","A",26450000,28000000,11.00
"ter_a_22","A",28000000,30050000,12.00
"ter_a_23","A",30050000,32400000,13.00
"ter_a_24","A",32400000,35400000,14.00
"ter_a_25","A",35400000,39100000,15.00
"ter_a_26","A",39100000,43850000,16.00
"ter_a_27","A",43850000,47800000,17.00
"ter_a_28","A",47800000,51400000,18.00
"ter_a_29","A",51400000,56300000,19.00
"ter_a_30","A",56300000,62200000,20.00
"ter_a_31","A",62200000,68600000,21.00
"ter_a_32","A",68600000,77500000,22.00
"ter_a_33","A",77500000,89000000,23.00
"ter_a_34","A",89000000,103000000,24.00
"ter_a_35","A",103000000,125000000,25.00
"ter_a_36","A",125000000,157000000,26.00
"ter_a_37","A",157000000,206000000,27.00
"ter_a_38","A",206000000,337000000,28.00
"ter_a_39","A",337000000,454000000,29.00
"ter_a_40","A",454000000,550000000,30.00
"ter_a_41","A",550000000,695000000,31.00
"ter_a_42","A",695000000,910000000,32.00
"ter_a_43","A",910000000,1400000000,33.00
"ter_a_44","A",1400000000,9999999999,34.00
"ter_b_01","B",0,6200000,0.0
"ter_b_02","B",6200000,6500000,0.25
"ter_b_03","B",6500000,6850000,0.50
"ter_b_04","B",6850000,7300000,0.75
"ter_b_05","B",7300000,9200000,1.00
"ter_b_06","B",9200000,10750000,1.50
"ter_b_07","B",10750000,11250000,2.00
"ter_b_08","B",11250000,11600000,2.50
"ter_b_09","B",11600000,12600000,3.00
"ter_b_10","B",12600000,13600000,4.00
"ter_b_11","B",13600000,14950000,5.00
"ter_b_12","B",14950000,16400000,6.00
"ter_b_13","B",16400000,18450000,7.00
"ter_b_14","B",18450000,21850000,8.00
"ter_b_15","B",21850000,26000000,9.00
"ter_b_16","B",26000000,27700000,10.00
"ter_b_17","B",27700000,29350000,11.00
"ter_b_18","B",29350000,31450000,12.00
"ter_b_19","B",31450000,33950000,13.00
"ter_b_20","B",33950000,37100000,14.00
"ter_b_21","B",37100000,41100000,15.00
"ter_b_22","B",41100000,45800000,16.00
"ter_b_23","B",45800000,49500000,17.00
"ter_b_24","B",49500000,53800000,18.00
"ter_b_25","B",53800000,58500000,19.00
"ter_b_26","B",58500000,64000000,20.00
"ter_b_27","B",64000000,71000000,21.00
"ter_b_28","B",71000000,80000000,22.00
"ter_b_29","B",80000000,93000000,23.00
"ter_b_30","B",93000000,109000000,24.00
"ter_b_31","B",109000000,129000000,25.00
"ter_b_32","B",129000000,163000000,26.00
"ter_b_33","B",163000000,211000000,27.00
"ter_b_34","B",211000000,374000000,28.00
"ter_b_35","B",374000000,459000000,29.00
"ter_b_36","B",459000000,555000000,30.00
"ter_b_37","B",555000000,704000000,31.00
"ter_b_38","B",704000000,957000000,32.00
"ter_b_39","B",957000000,1405000000,33.00
"ter_b_40","B",1405000000,9999999999,34.00
"ter_c_01","C",0,6600000,0.0
"ter_c_02","C",6600000,6950000,0.25
"ter_c_03","C",6950000,7350000,0.50
"ter_c_04","C",7350000,7800000,0.75
"ter_c_05","C",7800000,8850000,1.00
"ter_c_06","C",8850000,9800000,1.25
"ter_c_07","C",9800000,10950000,1.50
"ter_c_08","C",10950000,11200000,1.75
"ter_c_09","C",11200000,12050000,2.00
"ter_c_10","C",12050000,12950000,3.00
"ter_c_11","C",12950000,14150000,4.00
"ter_c_12","C",14150000,15550000,5.00
"ter_c_13","C",15550000,17050000,6.00
"ter_c_14","C",17050000,19500000,7.00
"ter_c_15","C",19500000,22700000,8.00
"ter_c_16","C",22700000,26600000,9.00
"ter_c_17","C",26600000,28100000,10.00
"ter_c_18","C",28100000,30100000,11.00
"ter_c_19","C",30100000,32600000,12.00
"ter_c_20","C",32600000,35400000,13.00
"ter_c_21","C",35400000,38900000,14.00
"ter_c_22","C",38900000,43000000,15.00
"ter_c_23","C",43000000,47400000,16.00
"ter_c_24","C",47400000,51200000,17.00
"ter_c_25","C",51200000,55800000,18.00
"ter_c_26","C",55800000,60400000,19.00
"ter_c_27","C",60400000,66700000,20.00
"ter_c_28","C",66700000,74500000,21.00
"ter_c_29","C",74500000,83200000,22.00
"ter_c_30","C",83200000,95600000,23.00
"ter_c_31","C",95600000,110000000,24.00
"ter_c_32","C",110000000,134000000,25.00
"ter_c_33","C",134000000,169000000,26.00
"ter_c_34","C",169000000,221000000,27.00
"ter_c_35","C",221000000,390000000,28.00
"ter_c_36","C",390000000,463000000,29.00
"ter_c_37","C",463000000,561000000,30.00
"ter_c_38","C",561000000,709000000,31.00
"ter_c_39","C",709000000,965000000,32.00
"ter_c_40","C",965000000,1419000000,33.00
"ter_c_41","C",1419000000,9999999999,34.00